,Date,Confirmed,Deaths,Recovered
0,2020-01-22,555.0,17.0,28.0
1,2020-01-23,653.0,18.0,30.0
2,2020-01-24,941.0,26.0,36.0
3,2020-01-25,1438.0,42.0,39.0
4,2020-01-26,2118.0,56.0,52.0
5,2020-01-27,2927.0,82.0,61.0
6,2020-01-28,5578.0,131.0,107.0
7,2020-01-29,6165.0,133.0,126.0
8,2020-01-30,8235.0,171.0,143.0
9,2020-01-31,9925.0,213.0,222.0
10,2020-02-01,12038.0,259.0,284.0
11,2020-02-02,16787.0,362.0,472.0
12,2020-02-03,19881.0,426.0,623.0
13,2020-02-04,23892.0,492.0,852.0
14,2020-02-05,27636.0,564.0,1124.0
15,2020-02-06,30818.0,634.0,1487.0
16,2020-02-07,34392.0,719.0,2011.0
17,2020-02-08,37121.0,806.0,2616.0
18,2020-02-09,40151.0,906.0,3244.0
19,2020-02-10,42763.0,1013.0,3946.0
20,2020-02-11,44803.0,1113.0,4683.0
21,2020-02-12,45222.0,1118.0,5150.0
22,2020-02-13,60370.0,1371.0,6295.0
23,2020-02-14,66887.0,1523.0,8058.0
24,2020-02-15,69032.0,1666.0,9395.0
25,2020-02-16,71226.0,1770.0,10865.0
26,2020-02-17,73260.0,1868.0,12583.0
27,2020-02-18,75138.0,2007.0,14352.0
28,2020-02-19,75641.0,2122.0,16121.0
29,2020-02-20,76199.0,2247.0,18177.0
30,2020-02-21,76843.0,2251.0,18890.0
31,2020-02-22,78599.0,2458.0,22886.0
32,2020-02-23,78985.0,2469.0,23394.0
33,2020-02-24,79570.0,2629.0,25227.0
34,2020-02-25,80415.0,2708.0,27905.0
35,2020-02-26,81397.0,2770.0,30384.0
36,2020-02-27,82756.0,2814.0,33277.0
37,2020-02-28,84124.0,2872.0,36711.0
38,2020-02-29,86013.0,2941.0,39782.0
39,2020-03-01,88371.0,2996.0,42716.0
40,2020-03-02,90309.0,3085.0,45602.0
41,2020-03-03,92844.0,3160.0,48229.0
42,2020-03-04,95124.0,3254.0,51171.0
43,2020-03-05,97886.0,3348.0,53797.0
44,2020-03-06,101800.0,3460.0,55866.0
45,2020-03-07,105836.0,3558.0,58359.0
46,2020-03-08,109835.0,3803.0,60695.0
47,2020-03-09,113582.0,3996.0,62512.0
48,2020-03-10,118582.0,4262.0,64404.0
49,2020-03-11,125865.0,4615.0,67003.0
50,2020-03-12,128343.0,4720.0,68324.0
51,2020-03-13,145193.0,5404.0,70251.0
52,2020-03-14,156099.0,5819.0,72624.0
53,2020-03-15,167447.0,6440.0,76034.0
54,2020-03-16,181546.0,7126.0,78088.0
55,2020-03-17,197168.0,7905.0,80840.0
56,2020-03-18,214915.0,8733.0,83313.0
57,2020-03-19,242713.0,9867.0,84962.0
58,2020-03-20,272167.0,11299.0,87403.0
59,2020-03-21,304528.0,12973.0,91676.0
60,2020-03-22,337020.0,14623.0,97243.0
61,2020-03-23,378287.0,16497.0,100958.0
62,2020-03-24,417966.0,18615.0,107705.0
63,2020-03-25,467594.0,21181.0,113770.0
64,2020-03-26,529591.0,23970.0,122150.0
65,2020-03-27,593291.0,27198.0,130915.0
